0:0:0:0:0:0:0:1 - - [13/May/2022:16:28:48 +0700] "GET /Quanlynhansu/assets/js/cocautochuc.js HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [13/May/2022:16:28:48 +0700] "GET /Quanlynhansu/assets/css/layout.css HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [13/May/2022:16:28:48 +0700] "GET /Quanlynhansu/assets/css/cocautochuc.css HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [13/May/2022:16:28:48 +0700] "GET /Quanlynhansu/assets/img/logoHUSC.png HTTP/1.1" 200 28158
0:0:0:0:0:0:0:1 - - [13/May/2022:16:28:48 +0700] "GET /Quanlynhansu/assets/img/dhkh7.jpg HTTP/1.1" 200 552094
0:0:0:0:0:0:0:1 - - [13/May/2022:16:28:49 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/May/2022:16:29:13 +0700] "GET /Quanlynhansu/cocautochucController?mpb=2 HTTP/1.1" 200 11509
0:0:0:0:0:0:0:1 - - [13/May/2022:16:29:13 +0700] "GET /Quanlynhansu/assets/css/cocautochuc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:16:29:16 +0700] "GET /Quanlynhansu/cocautochucController?mpb=2 HTTP/1.1" 200 11509
0:0:0:0:0:0:0:1 - - [13/May/2022:16:29:16 +0700] "GET /Quanlynhansu/assets/css/cocautochuc.css HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [13/May/2022:16:29:16 +0700] "GET /Quanlynhansu/assets/css/layout.css HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [13/May/2022:16:29:16 +0700] "GET /Quanlynhansu/assets/js/cocautochuc.js HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [13/May/2022:16:29:16 +0700] "GET /Quanlynhansu/assets/img/logoHUSC.png HTTP/1.1" 200 28158
0:0:0:0:0:0:0:1 - - [13/May/2022:16:29:16 +0700] "GET /Quanlynhansu/assets/img/dhkh7.jpg HTTP/1.1" 200 552094
0:0:0:0:0:0:0:1 - - [13/May/2022:16:29:17 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/May/2022:16:29:22 +0700] "GET /Quanlynhansu/cocautochucController?mpb=2 HTTP/1.1" 200 11509
0:0:0:0:0:0:0:1 - - [13/May/2022:16:29:22 +0700] "GET /Quanlynhansu/assets/js/cocautochuc.js HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [13/May/2022:16:29:22 +0700] "GET /Quanlynhansu/assets/css/layout.css HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [13/May/2022:16:29:22 +0700] "GET /Quanlynhansu/assets/css/cocautochuc.css HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [13/May/2022:16:29:22 +0700] "GET /Quanlynhansu/assets/img/logoHUSC.png HTTP/1.1" 200 28158
0:0:0:0:0:0:0:1 - - [13/May/2022:16:29:22 +0700] "GET /Quanlynhansu/assets/img/dhkh7.jpg HTTP/1.1" 200 552094
0:0:0:0:0:0:0:1 - - [13/May/2022:16:29:23 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/May/2022:16:29:42 +0700] "GET /Quanlynhansu/hienthinhansuController HTTP/1.1" 200 10919
0:0:0:0:0:0:0:1 - - [13/May/2022:16:30:33 +0700] "GET /Quanlynhansu/hienthinhansuController HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [13/May/2022:16:30:33 +0700] "GET /Quanlynhansu/assets/css/layout.css HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [13/May/2022:16:30:33 +0700] "GET /Quanlynhansu/assets/css/hienthinhansu.css HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [13/May/2022:16:30:33 +0700] "GET /Quanlynhansu/assets/img/logoHUSC.png HTTP/1.1" 200 28158
0:0:0:0:0:0:0:1 - - [13/May/2022:16:30:33 +0700] "GET /Quanlynhansu/assets/imageHoSo/IMG_9300.jpg HTTP/1.1" 200 5658872
0:0:0:0:0:0:0:1 - - [13/May/2022:16:30:33 +0700] "GET /Quanlynhansu/assets/imageHoSo/logonhansu.png HTTP/1.1" 200 34868
0:0:0:0:0:0:0:1 - - [13/May/2022:16:30:34 +0700] "GET /Quanlynhansu/assets/img/dhkh7.jpg HTTP/1.1" 200 552094
0:0:0:0:0:0:0:1 - - [13/May/2022:16:30:34 +0700] "GET /Quanlynhansu/assets/imageHoSo/logonhansu.png HTTP/1.1" 200 34868
0:0:0:0:0:0:0:1 - - [13/May/2022:16:30:34 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/May/2022:16:30:41 +0700] "GET /Quanlynhansu/hienthinhansuController HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [13/May/2022:16:30:41 +0700] "GET /Quanlynhansu/assets/css/hienthinhansu.css HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [13/May/2022:16:30:41 +0700] "GET /Quanlynhansu/assets/css/layout.css HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [13/May/2022:16:30:41 +0700] "GET /Quanlynhansu/assets/img/logoHUSC.png HTTP/1.1" 200 28158
0:0:0:0:0:0:0:1 - - [13/May/2022:16:30:41 +0700] "GET /Quanlynhansu/assets/imageHoSo/IMG_9300.jpg HTTP/1.1" 200 5658872
0:0:0:0:0:0:0:1 - - [13/May/2022:16:30:41 +0700] "GET /Quanlynhansu/assets/imageHoSo/logonhansu.png HTTP/1.1" 200 34868
0:0:0:0:0:0:0:1 - - [13/May/2022:16:30:41 +0700] "GET /Quanlynhansu/assets/img/dhkh7.jpg HTTP/1.1" 200 552094
0:0:0:0:0:0:0:1 - - [13/May/2022:16:30:41 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/May/2022:16:32:27 +0700] "GET /Quanlynhansu/hienthinhansuController HTTP/1.1" 200 10961
0:0:0:0:0:0:0:1 - - [13/May/2022:16:33:14 +0700] "GET /Quanlynhansu/hienthinhansuController HTTP/1.1" 200 10950
0:0:0:0:0:0:0:1 - - [13/May/2022:16:33:38 +0700] "GET /Quanlynhansu/hienthinhansuController HTTP/1.1" 200 10950
0:0:0:0:0:0:0:1 - - [13/May/2022:16:33:40 +0700] "GET /Quanlynhansu/hienthinhansuController HTTP/1.1" 200 10950
0:0:0:0:0:0:0:1 - - [13/May/2022:16:33:40 +0700] "GET /Quanlynhansu/assets/css/layout.css HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [13/May/2022:16:33:40 +0700] "GET /Quanlynhansu/assets/css/hienthinhansu.css HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [13/May/2022:16:33:41 +0700] "GET /Quanlynhansu/assets/img/logoHUSC.png HTTP/1.1" 200 28158
0:0:0:0:0:0:0:1 - - [13/May/2022:16:33:41 +0700] "GET /Quanlynhansu/assets/imageHoSo/IMG_9300.jpg HTTP/1.1" 200 5658872
0:0:0:0:0:0:0:1 - - [13/May/2022:16:33:41 +0700] "GET /Quanlynhansu/assets/imageHoSo/logonhansu.png HTTP/1.1" 200 34868
0:0:0:0:0:0:0:1 - - [13/May/2022:16:33:41 +0700] "GET /Quanlynhansu/assets/img/dhkh7.jpg HTTP/1.1" 200 552094
0:0:0:0:0:0:0:1 - - [13/May/2022:16:33:41 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/May/2022:16:33:44 +0700] "GET /Quanlynhansu/themnhansuController HTTP/1.1" 200 29900
0:0:0:0:0:0:0:1 - - [13/May/2022:16:33:47 +0700] "GET /Quanlynhansu/hienthinhansuController HTTP/1.1" 200 10950
0:0:0:0:0:0:0:1 - - [13/May/2022:16:33:51 +0700] "POST /Quanlynhansu/hienthinhansuController HTTP/1.1" 200 6359
0:0:0:0:0:0:0:1 - - [13/May/2022:16:33:56 +0700] "POST /Quanlynhansu/hienthinhansuController HTTP/1.1" 200 8006
0:0:0:0:0:0:0:1 - - [13/May/2022:16:33:59 +0700] "GET /Quanlynhansu/chitietnhansuController?macths=1 HTTP/1.1" 200 9922
0:0:0:0:0:0:0:1 - - [13/May/2022:16:34:07 +0700] "GET /Quanlynhansu/suanhansuController?mahs=1 HTTP/1.1" 200 29434
0:0:0:0:0:0:0:1 - - [13/May/2022:16:34:13 +0700] "GET /Quanlynhansu/hienthinhansuController HTTP/1.1" 200 10950
0:0:0:0:0:0:0:1 - - [13/May/2022:16:34:20 +0700] "GET /Quanlynhansu/cocautochucController HTTP/1.1" 200 11653
0:0:0:0:0:0:0:1 - - [13/May/2022:16:34:20 +0700] "GET /Quanlynhansu/assets/css/cocautochuc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:16:34:22 +0700] "GET /Quanlynhansu/quanlytudienController HTTP/1.1" 200 15572
0:0:0:0:0:0:0:1 - - [13/May/2022:16:34:57 +0700] "GET /Quanlynhansu/quanlytudienController HTTP/1.1" 200 15586
0:0:0:0:0:0:0:1 - - [13/May/2022:16:34:57 +0700] "GET /Quanlynhansu/assets/css/layout.css HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [13/May/2022:16:34:57 +0700] "GET /Quanlynhansu/assets/css/quanlytudien.css HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [13/May/2022:16:34:58 +0700] "GET /Quanlynhansu/assets/img/logoHUSC.png HTTP/1.1" 200 28158
0:0:0:0:0:0:0:1 - - [13/May/2022:16:34:58 +0700] "GET /Quanlynhansu/assets/img/dhkh7.jpg HTTP/1.1" 200 552094
0:0:0:0:0:0:0:1 - - [13/May/2022:16:34:58 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/May/2022:16:35:04 +0700] "GET /Quanlynhansu/chitiettudienController?matudien=1 HTTP/1.1" 200 6787
0:0:0:0:0:0:0:1 - - [13/May/2022:16:35:07 +0700] "GET /Quanlynhansu/themchitiettudienController?MaTD=1 HTTP/1.1" 200 6941
0:0:0:0:0:0:0:1 - - [13/May/2022:16:35:07 +0700] "GET /Quanlynhansu/assets/css/themchitiettudien.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:16:35:09 +0700] "POST /Quanlynhansu/chitiettudienController HTTP/1.1" 200 6787
0:0:0:0:0:0:0:1 - - [13/May/2022:16:35:12 +0700] "GET /Quanlynhansu/quanlytudienController HTTP/1.1" 200 15586
0:0:0:0:0:0:0:1 - - [13/May/2022:16:35:13 +0700] "GET /Quanlynhansu/cocautochucController HTTP/1.1" 200 11653
0:0:0:0:0:0:0:1 - - [13/May/2022:16:35:13 +0700] "GET /Quanlynhansu/assets/css/cocautochuc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:16:35:14 +0700] "GET /Quanlynhansu/hienthinhansuController HTTP/1.1" 200 10950
0:0:0:0:0:0:0:1 - - [13/May/2022:16:35:18 +0700] "GET /Quanlynhansu/logoutController HTTP/1.1" 200 1911
